I 10/22/2011 22:21:41:071 00002b8c            RhodesApp| New start params: -approot='C:/Users/Uday/workspace/USCampus'
I 10/22/2011 22:21:41:079 00002b8c      Rhodes.cpp: 235| Rhodes started
I 10/22/2011 22:21:41:080 00001424         AppCallbacks| Starting main routine...
I 10/22/2011 22:21:41:080 00001424         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 10/22/2011 22:21:41:081 00002b8c            RhodesApp| Trying to get free listening port.
I 10/22/2011 22:21:41:094 00002b8c            RhodesApp| Trying to bind of 0 port...
I 10/22/2011 22:21:41:094 00002b8c            RhodesApp| Got port to bind on: 58739
I 10/22/2011 22:21:41:094 00002b8c            RhodesApp| Free listening port: 58739
I 10/22/2011 22:21:42:968 00002b8c            RhodesApp| callAppActiveCallback
I 10/22/2011 22:21:42:968 00002b8c         AppCallbacks| addCommand: APP-ACTIVATED
I 10/22/2011 22:21:42:968 00001424         AppCallbacks| Received command APP-ACTIVATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 10/22/2011 22:21:42:969 00001424         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 10/22/2011 22:21:42:983 00002b8c         AppCallbacks| addCommand: UI-CREATED
I 10/22/2011 22:21:42:984 00002b8c           MainWindow| navigate: 'about:blank'
I 10/22/2011 22:21:42:984 00002b8c           MainWindow| WebView: loading...
I 10/22/2011 22:21:42:985 00002b8c           MainWindow| WebView: URL changed
I 10/22/2011 22:21:42:985 00001424         AppCallbacks| Received command UI-CREATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 10/22/2011 22:21:42:985 00001424         AppCallbacks| ThreadQueue blocked for 4294967295 seconds...
I 10/22/2011 22:21:42:985 00002124            RhodesApp| Starting RhodesApp main routine...
I 10/22/2011 22:21:43:054 00002b8c           MainWindow| WebView: loaded 
I 10/22/2011 22:21:43:179 00002124              RhoRuby| Init_RhoBlobs: C:/Users/Uday/workspace/USCampus/rhosimulator/db/db-files
I 10/22/2011 22:21:43:181 00002124              RhoRuby| require_compiled: rhoframework
I 10/22/2011 22:21:43:204 00002124              RhoRuby| require_compiled: rational
I 10/22/2011 22:21:43:205 00002124              RhoRuby| require_compiled: rhom/rhom_db_adapter
I 10/22/2011 22:21:43:211 00002124              RhoRuby| require_compiled: rhodes
I 10/22/2011 22:21:43:214 00002124              RhoRuby| require_compiled: rhom/rhom_object
I 10/22/2011 22:21:43:216 00002124              RhoRuby| require_compiled: rhofsconnector
I 10/22/2011 22:21:43:217 00002124              RhoRuby| require_compiled: rho/rhofsconnector
I 10/22/2011 22:21:43:220 00002124              RhoRuby| require_compiled: rhom/rhom_object_factory
I 10/22/2011 22:21:43:263 00002124              RhoRuby| require_compiled: rhom/rhom
I 10/22/2011 22:21:43:267 00002124              RhoRuby| require_compiled: rhom/rhom_model
I 10/22/2011 22:21:43:270 00002124              RhoRuby| require_compiled: rhom
I 10/22/2011 22:21:43:271 00002124              RhoRuby| require_compiled: rho/rhoapplication
I 10/22/2011 22:21:43:276 00002124              RhoRuby| require_compiled: rholang/localization_simplified
I 10/22/2011 22:21:43:282 00002124                  APP| Current locale: en; Country code: us
I 10/22/2011 22:21:43:282 00002124                  APP| file: C:/RhoStudio/ruby/lib/ruby/gems/1.8/gems/rhodes-3.1.1/lib/framework/rholang/lang_
I 10/22/2011 22:21:43:282 00002124              RhoRuby| require_compiled: C:/RhoStudio/ruby/lib/ruby/gems/1.8/gems/rhodes-3.1.1/lib/framework/rholang/lang_en
I 10/22/2011 22:21:43:285 00002124              RhoRuby| require_compiled: rho/rhomsg
I 10/22/2011 22:21:43:287 00002124                  APP| Current locale: en; Country code: us
